 Sistema de Informação de Atenção Básica - Produção e Marcadores - Brasil
Atend.Pré-Natal por Município e Ano
Período:1998-2015
"Município";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Total"
"251230 PRINCESA ISABEL";-;1;2;379;1360;1704;1697;2280;2509;2651;2362;2727;2615;2364;2184;2406;2387;774;30402
"251240 PUXINANA";-;316;156;648;1620;1203;1906;2062;1894;1767;1393;1168;1443;1332;1501;1579;1770;108;21866
"251250 QUEIMADAS";381;1177;711;1515;2573;3620;3175;4009;3230;4067;2766;3998;4516;5077;3884;4133;3156;-;51988
"251260 QUIXABA";49;64;179;141;229;288;193;242;240;229;247;280;237;212;244;190;103;-;3367
"251270 REMIGIO";-;-;2;433;629;506;802;1043;988;1297;927;1240;1388;1580;1322;1760;136;-;14053
"251272 PEDRO REGIS";139;534;437;621;700;580;779;538;561;390;291;447;2746;546;633;712;781;94;11529
"251274 RIACHAO";-;-;-;349;353;472;401;516;579;477;354;427;515;414;303;422;229;-;5811
"251275 RIACHAO DO BACAMARTE";-;-;-;23;751;997;681;555;498;484;422;501;408;389;409;530;554;464;7666
"251276 RIACHAO DO POCO";-;165;201;21;577;370;447;359;383;445;375;399;367;341;661;377;202;-;5690
"251278 RIACHO DE SANTO ANTONIO";71;168;207;170;204;168;218;181;310;345;216;229;287;253;138;207;96;-;3468
"251280 RIACHO DOS CAVALOS";181;390;644;995;696;621;737;972;931;670;766;674;4075;738;566;640;879;937;16112
"251290 RIO TINTO";178;737;666;1376;1490;1742;1743;2095;2679;2463;2091;2284;9560;2085;2237;2006;1236;-;36668
"251300 SALGADINHO";127;165;150;441;386;463;348;429;410;248;271;400;330;219;138;194;174;149;5042
"251310 SALGADO DE SAO FELIX";-;-;87;1031;1229;925;942;1447;1176;1170;942;1091;856;912;963;1067;811;1057;15706
"251315 SANTA CECILIA";189;458;619;595;686;561;603;758;1054;936;1026;991;742;908;876;613;872;991;13478
"251320 SANTA CRUZ";74;326;353;526;639;447;377;610;662;709;571;593;605;637;427;433;408;-;8397
"251330 SANTA HELENA";102;140;140;309;725;677;826;717;832;690;676;617;495;501;787;418;602;174;9428
"251335 SANTA INES";-;-;-;142;-;-;452;342;772;383;387;406;430;400;347;346;286;262;4955
"251340 SANTA LUZIA";400;449;1176;1551;1822;1957;2114;1925;1663;1804;1724;1658;1693;1676;1548;1097;-;-;24257
"251350 SANTANA DE MANGUEIRA";-;-;191;590;689;621;665;504;625;791;511;483;562;529;588;360;465;577;8751
"251360 SANTANA DOS GARROTES";-;-;354;795;762;636;648;1016;870;746;758;514;510;512;2449;468;200;-;11238
"251365 JOCA CLAUDINO";-;130;229;295;217;241;165;343;324;198;218;244;289;169;255;250;72;-;3639
"251370 SANTA RITA";82;3284;3793;5459;6100;8337;7563;8008;10449;10142;10888;10086;12234;24474;10359;8872;9944;8432;158506
"251380 SANTA TERESINHA";252;302;405;725;760;703;548;618;488;625;478;478;410;489;388;449;420;-;8538
"251385 SANTO ANDRE";132;223;208;284;267;262;227;263;324;324;239;246;279;326;276;292;150;-;4322
"251390 SAO BENTO";-;-;492;3920;1822;2471;3106;3655;3987;4840;3996;4127;3491;3912;3531;3574;2002;-;48926
"251392 SAO BENTINHO";96;120;192;336;508;311;354;356;537;571;381;441;475;520;701;422;434;267;7022
"251394 SAO DOMINGOS DO CARIRI";-;-;-;-;69;163;62;251;354;294;424;247;303;420;330;385;315;386;4003
"251396 SAO DOMINGOS";40;130;192;266;179;223;99;279;264;373;236;306;402;516;284;275;205;-;4269
"251398 SAO FRANCISCO";64;211;267;324;388;306;282;358;388;322;362;424;346;277;268;236;-;-;4823
"251400 SAO JOAO DO CARIRI";48;-;-;-;361;455;322;450;428;389;390;415;477;284;394;331;207;-;4951
"251410 SAO JOAO DO TIGRE";137;294;-;363;331;412;378;416;384;421;512;586;544;551;648;517;544;-;7038
"251420 SAO JOSE DA LAGOA TAPADA";40;97;210;412;695;734;802;879;831;764;633;669;2203;660;631;743;670;150;11823
"251430 SAO JOSE DE CAIANA";-;-;-;440;798;652;823;803;740;744;556;799;652;781;853;513;-;-;9154
"251440 SAO JOSE DE ESPINHARAS";160;252;78;432;443;369;381;452;625;550;472;365;436;356;337;326;174;-;6208
"251445 SAO JOSE DOS RAMOS";-;59;89;1287;619;540;475;937;820;783;616;779;770;691;641;639;561;570;10876
"251450 SAO JOSE DE PIRANHAS";403;465;151;1184;1823;1918;1785;1693;2133;1782;1322;1510;2070;1703;1699;1296;1627;1675;26239
"251455 SAO JOSE DE PRINCESA";-;-;-;-;99;382;293;303;367;357;428;407;413;316;241;277;308;144;4335
"251460 SAO JOSE DO BONFIM";166;133;282;328;341;396;353;389;427;372;396;504;642;680;637;688;429;298;7461
"251465 SAO JOSE DO BREJO DO CRUZ";-;-;-;202;196;180;170;189;199;231;201;239;749;213;197;203;-;-;3169
"251470 SAO JOSE DO SABUGI";286;268;595;357;415;473;362;659;608;550;410;507;1915;642;616;341;-;-;9004
"251480 SAO JOSE DOS CORDEIROS";61;221;185;294;207;357;250;186;276;416;178;337;282;426;219;339;383;286;4903
"251490 SAO MAMEDE";1035;860;1008;1245;1144;1034;1224;1230;974;1083;1097;1035;983;1158;942;893;-;-;16945
"251500 SAO MIGUEL DE TAIPU";92;256;333;826;754;740;653;871;920;893;668;600;3500;706;676;656;512;-;13656
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";80;508;870;1013;1072;943;1086;1129;800;981;917;1382;1098;1252;1143;1274;1198;1302;18048
"251520 SAO SEBASTIAO DO UMBUZEIRO";-;-;-;-;-;-;-;191;295;497;381;327;320;256;270;406;340;354;3637
"251530 SAPE";-;199;1134;3812;4360;4724;5123;5142;5165;5744;5179;5388;6051;5530;3505;3831;4731;-;69618
"251540 SAO VICENTE DO SERIDO";81;1239;1508;2634;1727;1472;1405;1407;1351;1739;1563;1584;1414;1511;1365;1546;1494;1433;26473
"251550 SERRA BRANCA";28;32;353;748;1283;1251;1200;1219;1054;1438;1303;1261;1151;1537;1100;929;379;-;16266
"251560 SERRA DA RAIZ";-;-;-;113;415;368;317;280;289;433;288;398;249;372;211;278;280;-;4291
"251570 SERRA GRANDE";-;-;144;282;371;443;369;568;381;446;386;313;249;237;200;210;175;-;4774
"251580 SERRA REDONDA";-;-;-;308;800;671;759;601;713;783;740;820;664;565;619;610;859;1001;10513
"251590 SERRARIA";-;-;-;-;154;558;478;753;935;787;691;641;572;745;655;660;473;-;8102
"251593 SERTAOZINHO";-;37;-;219;327;419;539;589;682;691;640;636;696;737;895;1027;450;-;8584
"251597 SOBRADO";10;1197;457;659;752;837;739;987;1043;879;722;822;944;987;957;391;-;-;12383
"251600 SOLANEA";-;-;-;2297;3190;3271;3187;3234;3053;2671;2342;2730;2917;4188;2393;1054;-;-;36527
"251610 SOLEDADE";-;-;2;727;1698;1323;1287;1554;1472;1560;1525;1636;1475;1615;1395;1520;1479;1527;21795
"251615 SOSSEGO";-;8;157;330;304;292;307;463;336;444;386;204;222;300;265;316;59;-;4393
"251620 SOUSA";-;-;284;752;1718;3649;5569;6577;6970;7305;5985;6221;6134;7213;7146;5744;5591;104;76962
"251630 SUME";572;1409;1988;1763;2063;2188;1634;1852;1770;2298;2041;1624;1655;1664;1594;1755;828;-;28698
"251640 TACIMA";-;-;-;696;880;1009;915;849;940;1227;954;829;779;894;962;1154;728;45;12861
"251650 TAPEROA";-;-;-;707;1459;1029;1099;1726;1481;1415;1326;1091;1529;1524;1612;1245;1497;606;19346
"251660 TAVARES";293;28;57;229;1432;1829;1491;1605;1752;1638;1686;1646;1251;1258;1725;1445;1514;1777;22656
"251670 TEIXEIRA";780;524;862;1690;1832;1631;1279;2183;1849;2114;1720;1513;1517;1173;1156;1281;393;-;23497
"251675 TENORIO";46;134;90;351;472;496;285;319;336;292;292;303;408;487;343;365;403;-;5422
"251680 TRIUNFO";301;398;887;808;841;864;799;1016;954;1064;769;758;697;869;864;793;526;-;13208
"251690 UIRAUNA";111;165;304;637;724;1038;997;1101;1211;1342;1189;1261;1533;1782;1577;1963;1321;1358;19614
"251700 UMBUZEIRO";-;-;86;869;500;414;403;707;1133;1305;1321;1136;1147;1059;885;993;1136;575;13669
"251710 VARZEA";152;97;107;164;141;203;183;168;247;192;264;275;268;389;369;218;-;-;3437
"251720 VIEIROPOLIS";120;82;-;-;222;338;400;504;379;616;567;360;415;378;408;387;144;-;5320
"251740 ZABELE";55;249;286;244;203;321;252;336;466;354;400;291;301;262;388;434;164;-;5006
" MUNICIPIO IGNORADO - PE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260005 ABREU E LIMA";-;1611;2807;4757;7616;7312;7779;7912;7080;5773;5727;6520;5266;5755;6507;7656;8328;8957;107363
"260010 AFOGADOS DA INGAZEIRA";-;697;1135;2128;1635;2126;2433;2257;2767;2012;2543;2741;3255;3216;3132;3205;4043;3591;42916
"260020 AFRANIO";-;59;673;618;812;614;647;1318;1215;1847;1756;2494;1930;1100;1755;1579;1268;1233;20918
"260030 AGRESTINA";150;371;358;892;1536;6509;11670;1322;1473;1645;1894;1812;1923;2182;2462;2381;2434;2610;43624
"260040 AGUA PRETA";223;1381;1261;1874;2186;2564;2397;2157;3198;3062;2480;1925;3007;2961;3222;2676;2818;2325;41717
"260050 AGUAS BELAS";-;-;-;-;23;-;-;547;1260;739;831;805;920;1985;3223;3266;3672;4880;22151
"260060 ALAGOINHA";-;-;-;46;813;936;881;1616;1391;1471;1751;1738;1592;1308;1278;1401;1503;1486;19211
"260070 ALIANCA";129;117;349;1170;2818;2747;2547;3116;3770;3596;5690;3910;3719;3848;3695;3830;4330;2923;52304
"260080 ALTINHO";-;-;81;1783;1813;2087;1633;968;1513;1328;1826;1634;1650;1724;2316;1473;1725;1827;25381
"260090 AMARAJI";131;720;737;2663;1860;1217;1464;2083;3220;2183;1640;1948;2310;2647;2380;2482;2623;237;32545
"260100 ANGELIM";52;365;235;188;488;1342;1282;1083;949;1041;910;1187;1019;1509;1166;1133;1392;1394;16735
"260105 ARACOIABA";-;61;377;1231;1603;1261;982;2165;1812;2106;2180;2084;2037;1746;1963;2529;2407;1652;28196
"260110 ARARIPINA";-;-;891;4315;3960;3578;3462;2699;3286;4377;4263;4360;3732;5625;6030;5886;6846;6490;69800
"260120 ARCOVERDE";58;1150;1787;4267;4294;4380;4181;4766;5819;7815;8713;8124;6432;6558;6034;6986;7236;3193;91793
"260130 BARRA DE GUABIRABA";-;-;136;895;1382;1494;1305;1499;1699;1725;1434;1150;1197;1158;1350;1252;1286;1174;20136
"260140 BARREIROS";-;53;2645;2841;2966;3767;3540;3841;3883;4126;3970;3479;3496;4878;4733;4486;4486;4521;61711
"260150 BELEM DE MARIA";217;837;874;745;473;562;531;684;1285;1457;1007;1365;1117;1299;1230;1336;1120;421;16560
"260160 BELEM DE SAO FRANCISCO";-;-;-;-;-;81;1352;1325;1763;2157;3063;2193;2456;2052;2320;2279;2140;2031;25212
"260170 BELO JARDIM";-;-;194;844;2578;5030;3427;2970;4061;2710;2083;3824;4635;5228;5807;5906;7122;6515;62934
"260180 BETANIA";-;152;1270;1895;1317;1307;699;1020;1452;1976;426;-;1487;1643;1415;1021;1249;324;18653
"260190 BEZERROS";282;990;1749;2868;3269;3957;2916;3823;2733;2491;2144;3020;3510;3660;3607;4129;3916;5240;54304
"260200 BODOCO";-;1628;2940;3720;3910;4504;4751;9028;5100;4930;4802;4668;4978;4882;4668;5169;4276;4982;78936
"260210 BOM CONSELHO";-;610;854;1768;2224;2189;2265;2215;2572;1855;2360;2815;2857;2841;2937;3323;3699;4241;41625
"260220 BOM JARDIM";11;242;1533;3641;2864;3593;3588;3515;3506;3605;4130;4143;3777;3718;3835;3425;3362;1689;54177
"260230 BONITO";-;1391;685;1893;2948;3822;3686;2781;3965;3934;3894;3884;4115;4360;4386;4580;4741;4575;59640
"260240 BREJAO";358;1052;1285;975;1180;1119;1091;1301;1523;1293;1416;1584;1220;1391;1531;1846;1230;1377;22772
"260250 BREJINHO";-;-;462;968;624;957;843;990;898;832;1040;759;780;906;829;833;387;-;12108
"260260 BREJO DA MADRE DE DEUS";258;1368;1097;2219;2570;3071;2602;2698;3210;2868;3692;4102;4428;4773;4784;4081;4937;4307;57065
"260270 BUENOS AIRES";10;311;1149;456;1080;1472;1657;1280;1524;1412;1315;1239;1259;1435;1440;1582;1438;1737;21796
"260280 BUIQUE";-;-;2078;3649;4343;6069;6067;6515;5407;6708;4925;4737;4693;4923;5026;4641;5981;6210;81972
"260290 CABO DE SANTO AGOSTINHO";2897;12462;11729;11707;12999;14306;14603;14243;12996;7868;11705;12138;12841;13673;14247;13616;12450;13811;220291
"260300 CABROBO";-;3635;945;1134;1265;2428;1805;2200;2791;3673;3965;4157;4617;4043;4327;4060;5486;5405;55936
"260310 CACHOEIRINHA";-;-;100;162;542;708;1594;1883;1876;1356;1917;2064;2370;2320;1957;1367;1733;2185;24134
"260320 CAETES";145;846;795;1656;1872;1755;1856;1702;2265;2167;3254;3149;3556;3588;3309;3263;3326;3682;42186
"260330 CALCADO";-;-;146;492;564;572;359;14;83;310;161;1006;1118;1333;1244;1250;1397;1496;11545
"260340 CALUMBI";-;39;175;510;45;185;55;173;199;263;202;471;480;739;926;794;862;619;6737
"260345 CAMARAGIBE";-;6407;10075;10759;10620;12525;11765;12393;12712;9711;11821;13880;10918;10666;10798;10759;10998;11001;187808
"260350 CAMOCIM DE SAO FELIX";-;-;120;115;511;776;1225;1534;1800;1336;1639;1090;1635;1214;1068;2206;1501;1545;19315
"260360 CAMUTANGA";-;299;443;846;913;975;775;939;881;690;852;911;835;958;915;778;931;397;13338
"260370 CANHOTINHO";41;635;1385;1378;1433;1292;1175;1949;2741;2260;2613;2779;2549;3085;2926;2536;2825;5205;38807
"260380 CAPOEIRAS";-;-;31;1249;1360;1421;1513;1591;1880;1412;1731;2137;2096;2014;1897;1980;2122;1837;26271
"260390 CARNAIBA";-;-;65;-;-;-;-;1216;2020;1845;1878;2028;2067;1867;1737;1834;1989;2240;20786
"260392 CARNAUBEIRA DA PENHA";-;-;185;489;465;1073;659;400;1025;1312;1281;551;1390;1489;574;332;883;477;12585
"260400 CARPINA";-;547;1043;1114;1408;1650;1413;1991;3733;3003;4140;5094;5049;5442;5197;5463;5929;7447;59663
"260410 CARUARU";1356;10698;10462;13118;15250;16784;17084;18348;19602;15057;13365;6068;13115;19808;22561;25341;30446;29158;297621
"260415 CASINHAS";1;524;896;614;1020;834;1980;1886;1511;1511;1640;1465;1317;1537;1293;1466;2111;1501;23107
"260420 CATENDE";-;60;1395;3654;3321;3341;2751;4829;4122;3971;3164;3694;3591;3358;4324;3508;3373;3462;55918
"260430 CEDRO";-;-;307;1184;1354;1563;1530;1502;1371;1710;1622;1476;1859;1902;1523;1752;1327;1746;23728
"260440 CHA DE ALEGRIA";76;589;749;802;953;1919;1026;1370;1471;1316;1366;1258;1253;1292;1350;1469;1361;1470;21090
"260450 CHA GRANDE";13;209;608;1493;1389;1293;1355;1451;1485;2064;1567;1995;1957;2032;2296;1651;1768;2024;26650
"260460 CONDADO";88;947;799;1238;1295;1238;1535;2611;2906;3077;2881;2608;2203;2462;2981;2980;2465;3342;37656
"260470 CORRENTES";-;-;254;1315;1569;1601;2028;1729;1991;1480;1885;1458;1339;1506;1534;1621;1371;1831;24512
"260480 CORTES";-;-;-;310;1018;1443;1466;1129;1139;1809;1343;1862;1622;1122;1349;1176;1135;226;18149
"260490 CUMARU";189;956;558;1147;967;1118;1265;1021;1612;1601;1649;820;1095;1654;1610;1292;1357;1191;21102
"260500 CUPIRA";-;45;272;1085;893;1003;1010;1509;1977;2102;2313;2143;2142;2509;2352;2325;2218;569;26467
"260510 CUSTODIA";-;-;-;-;789;755;498;1294;2366;2446;2213;2466;2721;3059;2953;3013;2742;1150;28465
"260515 DORMENTES";2;855;4103;1656;982;1351;1623;1727;1808;1771;1895;2176;1878;1523;1730;2060;1922;1831;30893
"260520 ESCADA";63;602;943;1100;1313;1190;1054;695;717;1138;1515;1951;3188;4384;4239;3690;3513;3764;35059
"260530 EXU";-;-;173;2601;2327;2389;3563;2596;3333;3829;3196;4336;3941;3995;4023;3623;3785;3476;51186
"260540 FEIRA NOVA";95;662;853;1404;1501;2060;1806;2023;1911;1980;1964;2434;2304;2306;2103;1992;1989;2586;31973
"260545 FERNANDO DE NORONHA";-;68;248;115;237;158;189;97;195;278;291;252;258;184;237;235;251;275;3568
"260550 FERREIROS";167;604;782;766;833;940;1907;1195;928;969;1226;1254;1222;1200;1599;1510;1598;548;19248
"260560 FLORES";-;-;219;1670;1058;1035;1213;1238;1214;1274;1756;1933;2141;2325;1918;1671;2075;2179;24919
"260570 FLORESTA";-;-;38;216;998;854;748;766;991;1234;1511;1091;1519;1671;2151;1714;2822;2862;21186
"260580 FREI MIGUELINHO";-;-;-;833;1105;974;960;1443;1620;1131;1292;1395;1126;1330;1155;1062;1621;1360;18407
"260590 GAMELEIRA";24;223;306;1038;1276;1655;1758;1715;1553;1862;1645;1993;1538;1864;1900;2449;2095;2432;27326
"260600 GARANHUNS";551;1939;1766;7491;5601;5385;5636;6705;8156;7395;11570;11737;10891;11805;11659;13858;14094;15478;151717
"260610 GLORIA DO GOITA";-;147;304;354;518;651;1087;1303;1341;1294;2154;2241;2238;1997;2661;3003;2795;3143;27231
"260620 GOIANA";-;-;-;1420;3966;4402;40809;6060;5325;5917;5704;5632;5348;5087;5985;6043;7298;7638;116634
"260630 GRANITO";-;166;865;503;569;662;638;657;794;990;1017;642;759;841;827;533;809;882;12154
"260640 GRAVATA";-;822;2163;1824;2243;3307;3187;3187;3580;2797;4754;5851;5762;6898;6745;7034;8203;1097;69454
"260650 IATI";-;-;-;324;1799;970;998;1773;2423;2497;2676;1969;2237;2023;2084;2014;2513;2204;28504
"260660 IBIMIRIM";-;-;427;2309;2402;2113;2420;3091;3300;3520;3049;2958;3078;3332;3177;3335;3749;-;42260
"260670 IBIRAJUBA";-;-;-;651;900;841;927;712;712;615;587;755;834;721;723;730;794;687;11189
"260680 IGARASSU";-;1983;4270;5713;5833;7589;6530;6420;6609;5345;7231;6243;6599;6449;10300;7514;5607;8959;109194
"260690 IGUARACY";-;-;-;134;251;583;494;1064;1093;872;681;646;709;620;1028;914;1033;930;11052
"260700 INAJA";-;-;-;211;1293;1492;2163;1951;1942;1962;1934;1965;2173;2622;2151;2523;1860;1986;28228
"260710 INGAZEIRA";-;-;78;194;351;443;655;441;470;612;343;447;459;423;531;473;565;667;7152
"260720 IPOJUCA";-;-;143;1584;3366;4224;4241;3510;4089;4737;4208;4706;4223;4707;4623;5016;6850;7742;67969
"260730 IPUBI";-;-;383;2307;1724;1858;1642;2559;2754;3274;4196;4972;4650;4521;5137;3774;4290;3713;51754
"260740 ITACURUBA";-;402;290;340;432;602;473;579;607;663;587;539;509;326;508;735;664;410;8666
"260750 ITAIBA";-;47;-;-;-;-;-;-;305;1592;1075;1317;5542;2328;1583;1451;2683;2350;20273
"260760 ILHA DE ITAMARACA";-;-;310;1074;982;801;805;1375;1031;929;1491;1343;1775;1497;1781;1717;685;389;17985
"260765 ITAMBE";57;293;1508;1947;2913;127918;4691;4948;4159;3923;4839;4588;4223;4503;4063;3215;3925;1954;183667
"260770 ITAPETIM";-;-;-;-;-;-;-;-;6;947;1296;1145;1440;1576;1984;2028;1704;1689;13815
"260775 ITAPISSUMA";-;31;705;1145;1141;1313;980;1326;1807;1671;1587;1558;1750;1746;1649;1637;2016;2181;24243
"260780 ITAQUITINGA";-;-;-;206;292;832;653;1437;1900;1941;1604;1260;1696;1675;1762;1783;2062;2126;21229
"260790 JABOATAO DOS GUARARAPES";-;1983;9536;11079;12025;17795;15299;13308;18580;22002;21744;23380;25743;27047;30220;29629;32417;29764;341551
"260795 JAQUEIRA";272;814;967;1289;1007;1109;1053;1455;1092;1297;958;1273;1079;1116;1083;1150;1291;522;18827
"260800 JATAUBA";-;-;-;213;1872;1685;1700;1855;2242;1913;1898;1819;1939;2055;2190;2221;2244;2471;28317
"260805 JATOBA";40;255;1228;768;855;1107;1088;1317;1151;1250;1349;1799;1395;1409;1411;1259;1715;406;19802
"260810 JOAO ALFREDO";386;528;1510;1456;970;1681;1618;1654;2223;2455;2630;2750;2354;2891;2313;2363;2721;1752;34255
"260820 JOAQUIM NABUCO";-;1798;2806;1884;637;1424;1539;1718;1999;1917;1406;1825;1699;1576;1899;1713;1751;1999;29590
"260825 JUCATI";-;-;641;1322;1646;1098;1421;1428;1563;1309;1423;1307;1278;1268;1099;1190;1375;1543;20911
"260830 JUPI";10;284;334;283;333;514;636;754;1222;1563;1961;1897;2049;2022;2127;2166;2439;2599;23193
"260840 JUREMA";-;-;542;1309;1696;1406;1455;1465;1474;1690;1752;1686;1620;1522;1529;1786;1674;1708;24314
"260845 LAGOA DO CARRO";-;168;100;316;672;1012;965;1258;1414;1666;1473;1586;1456;1688;1622;1663;2285;1100;20444
"260850 LAGOA DE ITAENGA";-;25;44;662;1555;2736;2738;2741;2988;2311;2652;2478;2115;2144;2188;2458;2922;2793;35550
"260860 LAGOA DO OURO";-;308;1039;1393;1475;1473;1772;1847;1589;1486;1297;1522;1633;1414;1388;1324;22922;1570;45452
"260870 LAGOA DOS GATOS";-;339;289;299;1086;848;564;723;1629;1271;1051;1213;1703;1281;1279;1264;1331;445;16615
"260875 LAGOA GRANDE";-;612;1240;2536;2492;2806;2816;2984;3295;2976;2588;2822;3027;3070;3218;3265;3425;3809;46981
"260880 LAJEDO";-;-;715;947;830;1113;1207;948;913;1086;1256;2521;3077;3172;2590;4513;5799;3589;34276
"260890 LIMOEIRO";113;767;2180;2634;2960;4568;5457;5512;5330;5252;5161;4494;4582;5225;6025;5971;6613;6874;79718
"260900 MACAPARANA";351;947;2341;1814;2062;1823;1566;2190;2440;2780;2309;2736;2834;2664;2769;2998;2640;1452;38716
"260910 MACHADOS";20;94;714;697;793;820;820;1185;1253;1502;1589;1647;1550;1916;1474;1382;1528;1464;20448
"260915 MANARI";-;-;-;510;-;137;92;439;1134;2085;1117;1309;1319;1437;1686;2035;2388;2590;18278
"260920 MARAIAL";14;492;540;1440;1366;1490;1315;1625;1721;1618;1533;1466;1519;1752;1439;1261;1300;1073;22964
"260930 MIRANDIBA";-;1838;3698;2949;2367;2343;2544;1631;1773;1727;1290;1616;1908;2104;1862;1875;1896;1920;35341
"260940 MORENO";-;1019;1354;1946;2135;3244;2563;2606;2079;1467;2537;2639;2435;2806;3050;3017;3180;1776;39853
"260950 NAZARE DA MATA";-;263;1402;1732;2721;2473;2209;2258;3092;2382;2473;3009;2580;2904;3227;3246;3925;3963;43859
"260960 OLINDA";-;8724;12150;12828;14372;17654;16479;18497;17866;14598;19050;18371;17811;13795;15194;18988;18648;7583;262608
"260970 OROBO";-;1282;1559;1979;1690;1942;1982;2260;2296;2310;1983;2419;2146;2301;2476;2646;2604;2834;36709
"260980 OROCO";-;189;288;1350;992;1263;1810;1685;1459;1577;1308;1251;1508;1999;1888;2000;2602;2008;25177
"260990 OURICURI";-;67;436;3143;4218;4178;3977;4855;6657;6176;7007;7658;6630;6675;4718;8007;8148;9013;91563
"261000 PALMARES";-;-;386;1885;3912;4110;3257;3857;5297;6513;6075;6130;4947;5897;5586;5011;5438;2690;70991
"261010 PALMEIRINA";37;422;900;666;531;399;346;763;1046;921;708;1000;1074;1199;1242;752;813;828;13647
"261020 PANELAS";-;-;358;1097;1117;1608;1441;1402;1567;1331;880;1503;1756;2569;2101;2428;2407;1177;24742
"261030 PARANATAMA";-;-;87;68;255;618;369;611;1023;745;1150;1215;1241;1755;1592;1596;1468;1619;15412
"261040 PARNAMIRIM";-;26;602;1117;1282;1298;1065;1617;2199;2190;2267;2259;1919;2003;2395;1568;1428;1466;26701
"261050 PASSIRA";684;2910;3002;2176;1932;2892;3585;4055;2964;3634;3672;3419;3935;3555;3754;3025;3301;3518;56013
"261060 PAUDALHO";569;3560;2539;2917;3633;5380;4537;4179;4216;3682;3820;3866;3896;3867;4038;4001;5572;4895;69167
"261070 PAULISTA";-;265;1085;4890;7038;7820;7960;8150;10970;10524;11798;14970;14089;13556;13808;14308;16272;15580;173083
"261080 PEDRA";-;44;-;261;200;413;428;3897;2888;2973;2675;2933;2965;7362;2050;1845;767;-;31701
"261090 PESQUEIRA";-;-;-;924;2165;1930;1922;2989;2588;3227;2600;2649;2518;2681;3215;3814;3707;3984;40913
"261100 PETROLANDIA";-;58;142;373;1029;1377;494;998;1447;1079;1047;1053;1797;2257;3294;3078;1541;-;21064
"261110 PETROLINA";-;7267;9870;15932;15760;17098;150477;15634;26491;25627;20420;25196;25328;26787;30130;31428;34032;37172;514649
"261120 POCAO";-;-;157;396;962;1451;1609;1337;2126;1015;990;1254;1264;1074;1047;675;1080;1096;17533
"261130 POMBOS";-;1259;1379;967;1482;1481;1571;1512;1273;948;1550;1468;1369;1473;1503;1311;1854;1909;24309
"261140 PRIMAVERA";-;-;111;993;1208;1434;1097;750;1094;1030;838;802;981;1141;1299;1268;1009;-;15055
"261150 QUIPAPA";-;-;81;1204;1206;1983;2036;2097;2049;1835;2584;2465;2478;2530;2280;2381;2699;2623;32531
"261153 QUIXABA";-;-;27;222;204;361;557;442;523;843;777;838;699;605;613;353;207;229;7500
