 Sistema de Informação de Atenção Básica - Produção e Marcadores - Brasil
Atend.Pré-Natal por Município e Ano
Período:1998-2015
"Município";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Total"
"130380 SAO GABRIEL DA CACHOEIRA";15;29;94;324;816;1674;1536;2030;2222;2146;1993;2355;1787;2153;3182;2847;2679;1116;28998
"130390 SAO PAULO DE OLIVENCA";-;-;82;34;13;760;793;555;1276;985;795;1167;1630;2532;3438;2824;3054;1418;21356
"130395 SAO SEBASTIAO DO UATUMA";-;-;-;-;763;1353;1673;1642;1782;1331;1239;1181;1415;1738;1619;1104;1749;2206;20795
"130400 SILVES";-;287;823;1024;1570;1392;986;1304;999;1207;1185;1547;1310;1312;1202;1163;1327;1117;19755
"130406 TABATINGA";-;-;392;1529;1609;3214;4748;5469;5213;5610;8159;7577;6498;6251;6132;5128;5760;1156;74445
"130410 TAPAUA";-;-;197;966;2629;1864;1756;2356;2590;2596;1982;2145;3033;2662;3034;2461;3149;2220;35640
"130420 TEFE";-;-;461;1940;2187;1634;1696;6114;8137;7907;7738;8079;8949;7325;8304;8842;8862;9313;97488
"130423 TONANTINS";-;-;-;441;54;233;550;292;428;1335;1483;1179;2810;3402;2624;1346;1514;262;17953
"130426 UARINI";-;-;-;-;426;343;734;1587;2078;1956;1835;1618;2220;2343;1671;1442;2102;1107;21462
"130430 URUCARA";121;87;5;4;307;1635;1752;2145;2467;3652;2471;2400;3136;2443;2493;2356;2303;1497;31274
"130440 URUCURITUBA";-;10;190;1023;1129;837;1114;2459;1853;1953;2578;2439;1361;1634;1728;1799;882;-;22989
" MUNICIPIO IGNORADO - RR";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"140002 AMAJARI";-;-;20;145;324;313;267;112;650;929;433;324;414;426;457;556;397;337;6104
"140005 ALTO ALEGRE";-;-;-;-;-;353;958;1233;1126;1261;1198;1351;1209;1222;985;1051;1320;949;14216
"140010 BOA VISTA";-;1038;3121;3633;23623;24158;24852;22750;26237;27325;26560;26144;26875;26153;26454;23711;29151;30145;371930
"140015 BONFIM";-;-;-;-;384;701;420;542;664;648;851;1037;988;917;1207;1255;1055;1045;11714
"140017 CANTA";-;-;-;48;275;369;324;591;651;676;567;743;825;836;669;804;875;687;8940
"140020 CARACARAI";-;-;-;178;885;1133;1564;1499;1387;1210;1559;1118;1706;1977;1772;1676;2467;2023;22154
"140023 CAROEBE";-;-;-;-;-;-;-;122;899;684;667;958;875;657;503;767;868;718;7718
"140028 IRACEMA";-;-;-;730;425;414;422;633;627;999;744;1007;717;725;804;972;1084;982;11285
"140030 MUCAJAI";-;-;116;542;343;1061;1241;1272;1287;905;927;1810;1200;1319;1465;1768;2092;1757;19105
"140040 NORMANDIA";-;-;-;8;175;336;305;210;111;168;234;581;676;943;643;457;475;59;5381
"140045 PACARAIMA";-;34;525;797;1505;1994;2024;1778;1681;1160;713;1560;1870;1575;1610;1639;1244;1493;23202
"140047 RORAINOPOLIS";-;-;-;612;1404;1014;1471;1757;1511;1692;2116;1880;2470;1902;1516;2704;2303;1097;25449
"140050 SAO JOAO DA BALIZA";-;-;-;114;300;264;504;683;526;758;786;715;881;877;729;778;799;233;8947
"140060 SAO LUIZ";-;-;358;33;98;329;516;698;624;389;593;424;532;548;487;532;504;637;7302
"140070 UIRAMUTA";-;-;-;-;-;-;36;155;361;371;-;282;-;492;550;669;409;638;3963
" MUNICIPIO IGNORADO - PA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150010 ABAETETUBA";248;510;722;1150;1351;1223;1285;2016;3021;3557;3559;4064;5376;6199;7275;8685;9381;8297;67919
"150013 ABEL FIGUEIREDO";-;202;175;229;855;454;519;462;739;884;679;951;1041;704;562;836;600;969;10861
"150020 ACARA";445;1497;384;1177;1082;2354;1572;1155;662;260;543;696;805;792;831;910;1033;1306;17504
"150030 AFUA";40;88;390;1108;779;852;648;103;147;346;422;464;1051;1117;1811;1198;1407;189;12160
"150034 AGUA AZUL DO NORTE";22;153;184;204;333;435;58;855;836;474;1352;817;941;974;884;954;869;-;10345
"150040 ALENQUER";-;-;1168;1819;3753;4072;4257;4169;4853;6161;6603;5832;6529;1722;1803;2198;1551;8497;64987
"150050 ALMEIRIM";845;738;1671;1367;1342;908;821;350;1530;1850;1867;1141;2752;1274;1354;1871;1472;1866;25019
"150060 ALTAMIRA";-;438;3121;5317;5820;8337;9770;12458;12380;12858;13272;11244;11068;12279;11396;13956;4034;-;147748
"150070 ANAJAS";-;27;-;563;548;747;1691;1673;528;549;2082;3901;2277;1551;309;520;665;-;17631
"150080 ANANINDEUA";888;4031;3474;6102;7166;8163;8098;8780;15187;14758;26616;27202;27262;30748;27022;25465;20490;11860;273312
"150085 ANAPU";-;449;1217;474;1147;2860;3188;3210;2964;2356;2846;2287;1726;1543;883;3;-;-;27153
"150090 AUGUSTO CORREA";-;809;2352;3473;2514;4193;6404;5815;8973;7009;6444;6258;6482;5914;4917;5543;4691;2392;84183
"150095 AURORA DO PARA";710;721;1101;1007;1217;1520;2575;1841;2236;1798;1769;1554;1549;1840;1744;1767;1936;1940;28825
"150100 AVEIRO";5;120;209;527;219;233;139;868;1020;961;572;1030;374;278;183;366;309;65;7478
"150110 BAGRE";119;118;86;383;292;542;565;432;1227;348;2273;1193;2204;1999;1482;1153;1567;840;16823
"150120 BAIAO";-;13;-;227;216;6;11;13;304;938;1360;1919;2196;2327;2294;1533;1905;417;15679
"150125 BANNACH";41;-;25;85;69;58;68;81;53;44;177;299;225;220;248;226;341;69;2329
