 Sistema de Informação de Atenção Básica - Situação de Saneamento - Brasil
Nº FamíliasAb água-rede públAb água-poço/nasc.Ab água-outrosLixo-coletadoLixo-queim/enterrLixo-céu abertoFez.Urina-esgotoFez.Urina-fossaFez.Urina-céu abTip.Casa TijoloTip.Casa TaipaRevTip.Casa TaipaÑRevTip.Casa MadeiraTip.Casa Mat.AprovTip.Casa OutrosTrat.Água FiltradaTrat.Água FervidaTrat.Água CloradaTrat.Água s/Trat.Energia ElétricaFam.Benef. do PBFFam. com CADÚnico por Município
Período:Dez/2015
"Município";"Nº_Famílias";"Ab_água-rede_públ";"Ab_água-poço/nasc.";"Ab_água-outros";"Lixo-coletado";"Lixo-queim/enterr";"Lixo-céu_aberto";"Fez.Urina-esgoto";"Fez.Urina-fossa";"Fez.Urina-céu_ab";"Tip.Casa_Tijolo";"Tip.Casa_TaipaRev";"Tip.Casa_TaipaÑRev";"Tip.Casa_Madeira";"Tip.Casa_Mat.Aprov";"Tip.Casa_Outros";"Trat.Água_Filtrada";"Trat.Água_Fervida";"Trat.Água_Clorada";"Trat.Água_s/Trat.";"Energia_Elétrica";"Fam.Benef._do_PBF";"Fam._com_CADÚnico"
"150110 BAGRE";2753;906;667;1180;631;625;1497;13;348;2392;55;1;14;2661;20;2;250;40;1683;780;1445;361;53
"150120 BAIAO";6201;4013;1950;238;2465;3272;464;198;4738;1265;2803;147;164;2971;49;67;251;19;347;5584;5402;1556;1580
"150125 BANNACH";1289;412;841;36;524;647;118;1;1062;226;475;5;2;779;19;9;768;9;123;389;1025;99;33
"150130 BARCARENA";5394;1122;3042;1230;4068;1102;224;314;3839;1241;3209;32;18;1289;382;464;986;113;2801;1494;4798;1005;613
"150140 BELEM";114093;86110;25899;2084;108197;3861;2035;27353;73977;12763;73836;626;330;36990;1471;840;60203;6109;12733;35048;109280;1102;620
"150145 BELTERRA";3661;1513;1668;480;1414;1850;397;30;3359;272;678;96;79;2474;85;249;729;57;1918;957;2302;-;-
"150150 BENEVIDES";12649;10804;1771;74;11617;938;94;184;12338;127;10691;93;115;1709;35;6;724;212;2517;9196;12605;417;440
"150157 BOM JESUS DO TOCANTINS";3796;1785;1876;135;1872;1536;388;71;2942;783;1992;219;253;1181;46;105;1588;26;837;1345;2831;67;-
"150175 BREJO GRANDE DO ARAGUAIA";1426;1091;308;27;655;514;257;26;1141;259;488;76;109;717;31;5;660;4;100;662;1302;193;8
"150200 CACHOEIRA DO ARARI";4655;1827;2730;98;1773;2565;317;29;3107;1519;814;235;126;3429;18;33;268;46;3651;690;3025;1418;1457
"150210 CAMETA";22464;9932;5137;7395;8001;8763;5700;960;9759;11745;4757;83;109;16721;597;197;3880;1234;10879;6471;12039;4300;969
"150220 CAPANEMA";15311;1437;13104;770;7971;5374;1966;485;13095;1731;10434;1089;2095;1411;217;65;3665;408;1762;9476;13433;251;252
"150250 CHAVES";5541;861;916;3764;739;3857;945;16;990;4535;190;70;24;5167;43;47;282;173;4383;703;1286;1509;688
"150260 COLARES";2930;1999;911;20;671;2000;259;18;2565;347;1224;46;49;1514;29;68;546;114;743;1527;2290;302;286
"150270 CONCEICAO DO ARAGUAIA";12775;5545;7136;94;8642;3341;792;305;10447;2023;10966;286;134;1074;255;60;6402;102;1262;5009;11194;370;1258
"150277 CURIONOPOLIS";5609;2390;3070;149;2817;2365;427;896;4450;263;1290;28;161;4041;68;21;2584;809;1366;850;5420;-;-
"150280 CURRALINHO";3963;758;1362;1843;1211;2065;687;10;774;3179;286;1;5;3624;22;25;658;43;2699;563;2359;432;324
"150285 CURUA";2734;1781;350;603;435;2206;93;27;1174;1533;499;8;5;2116;31;75;113;12;2052;557;2482;1214;1261
"150295 ELDORADO DOS CARAJAS";5667;808;4706;153;2224;2633;810;171;4837;659;2694;127;72;2718;34;22;1881;114;2050;1622;4600;348;333
"150300 FARO";2280;2020;107;153;1635;645;-;-;2251;29;521;18;24;1659;46;12;7;1;2268;4;2070;1111;1180
"150304 FLORESTA DO ARAGUAIA";5119;22;4687;410;1993;2695;431;10;3346;1763;3718;138;56;1077;89;41;1651;11;148;3309;3806;472;481
"150307 GARRAFAO DO NORTE";6790;1591;5142;57;2454;3508;828;67;5760;963;3631;777;1151;1124;53;54;306;61;4979;1444;5915;3351;3489
"150310 GURUPA";6104;2530;898;2676;2654;2681;769;43;2016;4045;561;5;29;5481;21;7;62;21;5858;163;3518;112;27
"150330 IGARAPE-MIRI";14029;2978;5948;5103;4492;4897;4640;238;4171;9620;2038;64;57;11702;116;52;2269;339;6791;4630;8184;2962;3435
"150340 INHANGAPI";2334;1236;1018;80;930;950;454;7;2270;57;1174;70;212;868;8;2;741;24;325;1244;2201;737;168
"150350 IRITUIA";9035;4841;3712;482;2237;5405;1393;15;7196;1824;2756;141;478;5286;181;193;640;62;2500;5833;7485;557;520
